date,base_u_rate,1m_u_rate_pct_change,1yr_u_rate_pct_diff
1965-08-01,4.4,0.0,-11.99999999999999
1965-09-01,4.3,-2.272727272727282,-15.686274509803921
1965-10-01,4.2,-2.3255813953488302,-17.647058823529406
1965-11-01,4.1,-2.3809523809523947,-14.583333333333337
1965-12-01,4.0,-2.4390243902438935,-19.999999999999996
1966-01-01,4.0,0.0,-18.36734693877552
1966-02-01,3.8,-5.000000000000004,-25.49019607843137
1966-03-01,3.8,0.0,-19.14893617021277
1966-04-01,3.8,0.0,-20.833333333333336
1966-05-01,3.9,2.6315789473684292,-15.217391304347816
1966-06-01,3.8,-2.564102564102566,-17.391304347826086
1966-07-01,3.8,0.0,-13.636363636363647
1966-08-01,3.8,0.0,-13.636363636363647
1966-09-01,3.7,-2.631578947368407,-13.953488372093014
1966-10-01,3.7,0.0,-11.904761904761907
1966-11-01,3.6,-2.7027027027027084,-12.195121951219502
1966-12-01,3.8,5.555555555555558,-5.000000000000004
1967-01-01,3.9,2.6315789473684292,-2.500000000000002
1967-02-01,3.8,-2.564102564102566,0.0
1967-03-01,3.8,0.0,0.0
1967-04-01,3.8,0.0,0.0
1967-05-01,3.8,0.0,-2.564102564102566
1967-06-01,3.9,2.6315789473684292,2.6315789473684292
1967-07-01,3.8,-2.564102564102566,0.0
1967-08-01,3.8,0.0,0.0
1967-09-01,3.8,0.0,2.7027027027026973
1967-10-01,4.0,5.263157894736836,8.108108108108091
1967-11-01,3.9,-2.500000000000002,8.333333333333325
1967-12-01,3.8,-2.564102564102566,0.0
1968-01-01,3.7,-2.631578947368407,-5.128205128205121
1968-02-01,3.8,2.7027027027026973,0.0
1968-03-01,3.7,-2.631578947368407,-2.631578947368407
1968-04-01,3.5,-5.405405405405405,-7.894736842105255
1968-05-01,3.5,0.0,-7.894736842105255
1968-06-01,3.7,5.714285714285716,-5.128205128205121
1968-07-01,3.7,0.0,-2.631578947368407
1968-08-01,3.5,-5.405405405405405,-7.894736842105255
1968-09-01,3.4,-2.857142857142858,-10.526315789473683
1968-10-01,3.4,0.0,-15.000000000000002
1968-11-01,3.4,0.0,-12.82051282051282
1968-12-01,3.4,0.0,-10.526315789473683
1969-01-01,3.4,0.0,-8.108108108108114
1969-02-01,3.4,0.0,-10.526315789473683
1969-03-01,3.4,0.0,-8.108108108108114
1969-04-01,3.4,0.0,-2.857142857142858
1969-05-01,3.4,0.0,-2.857142857142858
